source,split,checkpoint,bucket,horizon_min,n,mean_bps,ci_lo,ci_hi,test_id,robust_type
M15_trim1pct,DISCOVERY,13:00,"[0.05,0.15)",60,85,-4.543972182750685,-10.71573139422723,2.4368181336196213,"D2_13:00_[0.05,0.15)_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,13:00,"[0.15,+inf)",30,164,1.3257745227164723,-1.7106003357512438,4.161658386921098,"D2_13:00_[0.15,+inf)_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,13:00,"[0.15,+inf)",60,164,2.008547295137756,-1.7235690628533684,5.854807505701658,"D2_13:00_[0.15,+inf)_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,14:00,"(-0.05,0.05)",30,102,-7.546958419540938,-11.582998126940971,-3.4680096833538405,"D2_14:00_(-0.05,0.05)_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,14:00,"(-0.05,0.05)",60,102,-8.875448496850929,-14.86705466967063,-3.0749552882859623,"D2_14:00_(-0.05,0.05)_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,14:00,"(-0.15,-0.05]",30,86,2.3872184128938163,-3.213429729447694,7.900723259396766,"D2_14:00_(-0.15,-0.05]_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,14:00,"(-0.15,-0.05]",60,86,2.5991179258667225,-5.886670774175321,10.19013862875347,"D2_14:00_(-0.15,-0.05]_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,14:00,"(-inf,-0.15]",30,159,1.9987086617296415,-2.115229559227594,6.440625264860659,"D2_14:00_(-inf,-0.15]_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,14:00,"(-inf,-0.15]",60,159,0.44174933022009366,-4.870019697119112,5.541920223351897,"D2_14:00_(-inf,-0.15]_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,14:00,"[0.05,0.15)",30,73,-1.4110763592166418,-5.798034096683601,3.2972635584914523,"D2_14:00_[0.05,0.15)_30",trim1pct_dev_n_M15
