signal,k,h,half,quintile,n,mean_fwd_ret_bps,spread_q5_q1_bps,ci95_lo,ci95_hi,spearman,n_quintiles_valid
LARGE_OFI,30,5,H2,4,1556,-0.06952335540063045,-0.024558758390007457,-0.7991186085074086,0.8027585973437448,-0.49999999999999994,5
LARGE_OFI,30,5,H2,5,1556,0.2087934260468106,-0.024558758390007457,-0.7991186085074086,0.8027585973437448,-0.49999999999999994,5
LARGE_OFI,30,15,H1,1,1895,0.35066383208703245,-0.14746006076031248,-1.1882461195999043,0.8484652643115188,-0.09999999999999999,5
LARGE_OFI,30,15,H1,2,1895,0.4076352851674246,-0.14746006076031248,-1.1882461195999043,0.8484652643115188,-0.09999999999999999,5
LARGE_OFI,30,15,H1,3,1895,-0.254674339806361,-0.14746006076031248,-1.1882461195999043,0.8484652643115188,-0.09999999999999999,5
LARGE_OFI,30,15,H1,4,1895,0.7299227926538506,-0.14746006076031248,-1.1882461195999043,0.8484652643115188,-0.09999999999999999,5
LARGE_OFI,30,15,H1,5,1895,0.20320377132671996,-0.14746006076031248,-1.1882461195999043,0.8484652643115188,-0.09999999999999999,5
LARGE_OFI,30,15,H2,1,1557,0.7738937066771677,-0.422806404523902,-2.1083675730669773,1.3614857302041836,-0.6,5
LARGE_OFI,30,15,H2,2,1556,1.0353280001944007,-0.422806404523902,-2.1083675730669773,1.3614857302041836,-0.6,5
LARGE_OFI,30,15,H2,3,1556,-0.05461176827328582,-0.422806404523902,-2.1083675730669773,1.3614857302041836,-0.6,5
LARGE_OFI,30,15,H2,4,1556,0.44403934728215977,-0.422806404523902,-2.1083675730669773,1.3614857302041836,-0.6,5
LARGE_OFI,30,15,H2,5,1556,0.3510873021532657,-0.422806404523902,-2.1083675730669773,1.3614857302041836,-0.6,5
LARGE_OFI,30,30,H1,1,1895,0.7334761072593761,-0.4208818217435627,-2.373393852151962,1.4151653858561903,-0.3,5
LARGE_OFI,30,30,H1,2,1895,1.2461588170448827,-0.4208818217435627,-2.373393852151962,1.4151653858561903,-0.3,5
LARGE_OFI,30,30,H1,3,1895,-0.2879150114440034,-0.4208818217435627,-2.373393852151962,1.4151653858561903,-0.3,5
LARGE_OFI,30,30,H1,4,1895,0.8857444957065317,-0.4208818217435627,-2.373393852151962,1.4151653858561903,-0.3,5
LARGE_OFI,30,30,H1,5,1895,0.31259428551581336,-0.4208818217435627,-2.373393852151962,1.4151653858561903,-0.3,5
LARGE_OFI,30,30,H2,1,1557,0.850958109665353,-0.4379605854504851,-3.327489287023072,2.45811588930677,-0.7,5
LARGE_OFI,30,30,H2,2,1556,1.5923461368791123,-0.4379605854504851,-3.327489287023072,2.45811588930677,-0.7,5
LARGE_OFI,30,30,H2,3,1556,1.345470162682541,-0.4379605854504851,-3.327489287023072,2.45811588930677,-0.7,5
