date,year,ret_am_win,ret_pm_win,ret_day_win,z_ret_day_win,is_roll_win,missing_bar13_win,ret_am_wdo,ret_pm_wdo,ret_day_wdo,z_ret_day_wdo,is_roll_wdo,missing_bar13_wdo,div,combo_am,combo_day,excl_am_nan,excl_am_zero,excl_day_nan,excl_day_zero
2024-03-27,2024,-0.000978090766823203,0.0027021734873702297,0.0017214397496088107,0.2127762119992201,False,False,0.0011061946902655162,0.0033149171270718814,0.004424778761061843,0.8607478343595364,False,False,1.0735240463587565,"(-,+)","(+,+)",False,False,False,False
2024-03-28,2024,0.00722966899839772,-0.0010087685264219548,0.0062136074094336635,0.7708411686628905,False,False,0.0021956087824350767,0.003186616211910076,0.005389221556886259,1.0456764403931476,True,False,1.8165176090560382,"(+,+)","(+,+)",False,False,False,False
2024-04-01,2024,-0.00923267902862901,-0.001566170712607673,-0.010784389789743165,-1.3292641717426819,False,False,0.011543437157926162,-0.0028529267092965993,0.008657577868444566,1.6836760520940592,False,False,0.3544118803513774,"(-,+)","(-,+)",False,False,False,False
2024-04-02,2024,-0.003290246768507643,0.0041656841939794464,0.0008617312965140123,0.10549780357438014,False,False,0.004459861248761188,0.002664035520473673,0.0071357779980179,1.4182234554815691,False,False,1.5237212590559492,"(-,+)","(+,+)",False,False,False,False
2024-04-03,2024,-0.004820315867852809,0.00582814838150747,0.00097973899753101,0.1204577225062888,False,False,-0.00157340938145345,-0.0036442430808627524,-0.0052119185760645115,-1.0283390877644072,False,False,-0.9078813652581184,"(-,-)","(+,-)",False,False,False,False
2024-04-04,2024,0.01500703454744401,-0.016941321423071032,-0.0021885258715023115,-0.276818875431447,False,False,-0.006231454005934722,0.009455558873295411,0.003165182987141524,0.6203033842138104,False,False,0.34348450878236336,"(+,-)","(-,+)",False,False,False,False
2024-04-05,2024,-0.0041052508112757735,-0.0014525753768843686,-0.005551863001915791,-0.7118832741897859,False,False,0.002369200394866766,0.0005909001378767709,0.0029615004935834577,0.5930946158029035,False,False,-0.11878865838688246,"(-,+)","(-,+)",False,False,False,False
2024-04-08,2024,0.012406753042795371,0.000465368804777766,0.012877895563407904,1.6711523704347908,False,False,-0.007969303423848828,-0.0011901219875036784,-0.009149940968122827,-1.8354904234509257,False,False,-0.1643380530161349,"(+,-)","(+,-)",False,False,False,False
2024-04-09,2024,0.003633552377271032,0.003543367739947678,0.007189795129493692,0.9124156834056257,False,False,-0.004071095223910248,0.00029910269192412464,-0.003773210207526523,-0.7354776091544739,False,False,0.17693807425115182,"(+,-)","(+,-)",False,False,False,False
2024-04-10,2024,-0.01657733537519146,-0.0008564643594035637,-0.017419601837672327,-2.19945887133075,False,False,0.013960909453530013,-0.001180173092053538,0.012764260071798983,2.4764751157034595,False,False,0.27701624437270933,"(-,+)","(-,+)",False,False,False,False
2024-04-11,2024,-0.0016412661195779332,-0.002348520432127743,-0.00398593200468933,-0.4856755545452836,False,False,0.0009836710603974286,0.0027515723270439274,0.003737950029510051,0.699954910096308,False,False,0.21427935555102434,"(-,+)","(-,+)",False,False,False,False
2024-04-12,2024,-0.005048923679060624,-0.008929625113095474,-0.01393346379647753,-1.6996793186239754,False,False,0.004782820888238115,-0.003788614727025408,0.0009760858955587537,0.18372637116984092,False,False,-1.5159529474541344,"(-,+)","(-,+)",False,False,False,False
2024-04-15,2024,-0.003160431398885999,-0.007807236555304575,-0.010942993718642602,-1.3204532575053067,False,False,0.013875317568887935,0.0010601387818041097,0.014950166112956742,2.8225315190610276,False,False,1.5020782615557209,"(-,+)","(-,+)",False,False,False,False
2024-04-16,2024,-0.0009985620706183251,-0.008316340810043621,-0.009306598498162622,-1.133265813412955,False,False,0.013155367774150273,0.003601554355037395,0.016804301901286678,3.0223957272360873,False,False,1.8891299138231323,"(-,+)","(-,+)",False,False,False,False
2024-04-17,2024,-0.004578104033467478,-0.0014273253508841899,-0.00599889494040573,-0.7251566793600889,True,False,-0.007753403933434155,-0.0016199733180864984,-0.009360816944024242,-1.5888859458710751,False,False,-2.314042625231164,"(-,-)","(-,-)",False,False,False,False
